TF,estimate,confidence interval,p-value
MA0900.2,2647.7420121432915,-55.923554081616516,0.00043590478809474645
MA1495.1,2752.6966012676426,-48.15970361673355,0.0010062023956519115
MA0904.2,2731.649640343218,-39.891936815495114,0.005113092017822095
MA1505.1,565.8814864315893,-3.215077209531419,0.008678726913374226
MA0158.2,806.9102988377997,-1.350448681876287,0.03357979867621151
MA0667.1,24.67751368396477,0.5223550060545766,1.9662261567241305e-06
MA2021.1,41.340637424271456,0.662218576571564,0.0038140945488669906
MA0655.1,23.941000726089076,0.8636808753876166,0.0016349275720243318
MA0477.2,17.28300597396063,0.8699503961445866,0.0002873301387332963
MA1144.1,22.52016952631986,0.8831616422687321,0.0004346683046570249
MA1134.1,19.17865502562852,0.8844780485031752,0.00045361813132324284
MA0491.2,19.517448049946886,0.9145291442798155,0.011167755229960444
MA1135.1,22.297314120995193,0.9192864846875198,0.0006690064768757378
MA0841.1,18.444932252523795,0.9239374134217642,0.0013574320634648085
MA0489.2,17.74129630301807,0.9465644967750247,0.00013903697772721724
MA2044.1,21.487225648132714,0.9519918758896543,0.0011638417750427133
MA1138.1,21.076094316079143,0.9602372713709767,0.0012858600982666101
MA0490.2,18.36165356628806,0.9619971168517685,0.014244124961624647
MA1142.1,23.446609552625922,0.9651840064629568,0.013679149683600851
MA1130.1,17.27902364421214,0.9751926949359287,0.001160468015839939
MA1132.1,24.751718345637027,0.9803833358796726,0.029054448542614127
MA2045.1,21.405345665316293,0.9850581119998179,0.0009446665978035089
MA0591.1,13.024501206800139,0.989019742732705,2.8496825755195353e-08
MA0048.2,24.31309463714954,0.9906491687693467,0.010463750850516339
MA0633.2,19.805034832844388,0.9916275880172403,0.0018276553931623946
MA1600.1,32.23266498632731,0.9937526843679989,0.04097887024760792
MA0099.3,22.128319059683196,0.9958420101563945,0.016975510369615983
MA1633.2,26.513389111084585,1.0112632428326809,0.014689579453496832
MA0476.1,18.30856604847349,1.0121088196881585,0.001970809311463621
MA1419.1,15.863142696195201,1.026344969912791,0.0004276940925731075
MA0500.2,14.931207348128638,1.0527429826514623,0.016392491617780103
MA0063.2,21.77127214652751,1.0555500224531653,0.014710308833342246
MA2022.1,14.95853298204051,1.0720075761618482,0.0014563341535725606
MA1137.1,17.18106411020712,1.0725160778470657,0.0159252376112854
MA1128.1,16.061674254684412,1.086602834152922,0.026918985390283857
MA0816.1,24.298853313831884,1.0882588683800112,0.01157293282580616
MA0776.1,1.307548440390349,1.0961870786339412,6.68516067754992e-15
MA0832.1,16.252558207810193,1.1411053559072757,0.0005717168048229106
MA0768.2,13.412607482351214,1.1449425211720201,0.01206569465453717
MA2036.1,17.486373292476458,1.1746558615958658,0.00567325617541623
MA0777.1,0.16205999962157489,1.1776359972501114,0.0
MA1141.1,13.704706816243023,1.1779364259164187,0.016790358143356582
MA0462.2,17.645340146094767,1.1805170373359375,0.0065804136332520665
MA1634.1,17.677820077491948,1.184789153603751,0.007061155581285098
MA0835.2,17.63085915829835,1.1984691926151871,0.00782723426891004
MA1641.1,15.882492092813315,1.1989432625810772,0.026349126494168335
MA0659.3,6.27127076416867,1.230409484417596,0.02767894156419591
MA0122.3,16.691194781689784,1.2345110077091364,0.018029463908229112
MA1472.2,12.397341004883643,1.24466392861684,0.029458971065888705
MA0521.2,16.169515973886334,1.2679966483063319,0.03590105629269602
MA0496.3,5.462979882633973,1.2734958560097729,0.031729585215814406
MA1125.1,0.6830777265909551,1.2801493874887702,0.023201646241840942
MA1710.1,3.9301681110834332,1.280912042692271,0.030038901610444233
MA0150.2,8.284484938739011,1.292555845617219,0.013154112355071761
MA0825.1,15.97267513156619,1.314820883254285,0.006426057462278108
MA1628.1,10.492279329360093,1.3307535199648108,0.00894925246936952
MA0089.2,10.41371834214067,1.3443986632267328,0.008757028207893798
MA1619.1,13.9185645929588,1.3512653369268044,0.03768668490204993
MA0646.1,27.023500260709586,1.3627177799618937,0.01380276056071498
MA0831.3,14.19314915258423,1.3857252256611945,0.017775471118704925
MA1562.1,18.964213717960654,1.3971629554162615,0.025035225078807788
MA1557.1,5.730455825061917,1.4298887144410117,3.2459284727866575e-30
MA1560.1,13.930155613344516,1.465418282120158,0.025327773610926557
MA1464.1,12.920314357850373,1.4678980286351173,0.033343646045859016
MA1723.1,-0.8632610732687956,1.4730244786377065,0.0008607776172185477
MA0058.3,12.631237708526918,1.484321014254403,0.04001670234054197
MA0464.2,12.330359276684865,1.4927863461601345,0.04683313504772773
MA0603.1,12.330359276684865,1.4927863461601345,0.04683313504772773
MA1500.1,5.864588317629408,1.4957165719190495,0.007326306397249743
MA1652.1,-1.7591051489574727,1.6438346513710453,0.0016628440741233166
MA0029.1,-1.9391464463954684,1.6620244563281579,0.0009858684685259108
MA1104.2,-1.8436474940920609,1.6811110366678905,0.0015500311718118491
MA0469.3,0.09818146487039606,1.8102207585479504,6.22878173889567e-16
MA0136.3,-2.2618642677080287,1.8814956492469919,0.0064073254632035104
MA0799.2,-6.376871859859239,1.8995040539384012,0.0015686796571536493
MA0644.2,-24.162268182862093,3.088513168128351,0.038175681051534946
MA0726.1,-24.203369966630262,3.0961905550830573,0.040189328445594134
MA0725.1,-24.203369966630262,3.0961905550830573,0.040189328445594134
MA0704.1,-26.578821922012157,3.198661807467208,0.03478187762318644
MA1518.2,-11.233330782323316,3.21314568070415,0.04414101123080222
MA0702.2,-26.653921908908835,3.252952995941926,0.04145526305804485
MA0705.1,-26.32854661608105,3.2678047727645234,0.04733025401158655
MA1147.1,-71.03332102996734,8.04179931126879,0.02337896882373804
MA0607.2,-330.0803862310787,12.574204744284724,1.20630477989031e-28
MA1570.1,-553.8343158696746,19.745805053213907,2.0693101928357568e-29
